@RELATION CDNA_MICROARRAY
@ATTRIBUTE Array_ID string @PRIMARY
@ATTRIBUTE cDNA_Sequence string @REFERENCE GENE.DNA_Sequence
@ATTRIBUTE Treatment {HeatStress, Pathogen, Control}
@ATTRIBUTE Hybridizations {Cy3, Cy5}
@ATTRIBUTE Data { R, N, I } 
@ATTRIBUTE Normalization {Log, LogCenter, Threshold}
@ATTRIBUTE Regulation {Up, Down, Neither}

@DATA
Array_390, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_391, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_392,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_393,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_394,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_395,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_396,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_397,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_398,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_399,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_400,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_401, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_402, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_403, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_404, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_405, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_406,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_407,  Seq_2, Pathogen,   Cy5,  R, LogCenter, Neither
Array_408,  Seq_3, Pathogen,   Cy5,  I, LogCenter, Down
Array_409,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_410,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_411,  Seq_2, HeatStress, Cy5,  R, LogCenter, Up
Array_412,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_413,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_414,  Seq_1, Pathogen,   Cy3,  R, LogCenter, Up
Array_415, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_416, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_417, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_418, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_419, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_420,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_421,  Seq_2, Pathogen,   Cy3,  N, LogCenter, Neither
Array_422,  Seq_3, Pathogen,   Cy5,  R, LogCenter, Down
Array_423,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_424,  Seq_2, Control,    Cy3,  N, LogCenter, Neither
Array_425,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_426,  Seq_1, Control,    Cy3,  N, LogCenter, Neither
Array_427,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_428,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_429, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_430, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_431, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_432, Seq_2, Control,    Cy5,  R, LogCenter, Neither
Array_433, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_434,  Seq_1, Control,    Cy3,  I, LogCenter, Neither
Array_435,  Seq_2, Pathogen,   Cy5,  N, LogCenter, Neither
Array_436,  Seq_3, Pathogen,   Cy5,  N, LogCenter, Down
Array_437,  Seq_1, Pathogen,   Cy5,  I, LogCenter, Up
Array_438,  Seq_2, Control,    Cy3,  R, LogCenter, Neither
Array_439,  Seq_2, HeatStress, Cy5,  I, LogCenter, Up
Array_440,  Seq_1, Control,    Cy3,  R, LogCenter, Neither
Array_441,  Seq_2, HeatStress, Cy3,  I, LogCenter, Up
Array_442,  Seq_1, Pathogen,   Cy3,  I, LogCenter, Up
Array_443, Seq_2, Pathogen,   Cy3,  I, LogCenter, Up
Array_444, Seq_3, Control,    Cy5,  N, LogCenter, Neither
Array_445, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_446, Seq_2, Control,    Cy5,  N, LogCenter, Neither
Array_447, Seq_3, Pathogen,   Cy3,  R, LogCenter, Down
Array_448,  Seq_1, Pathogen,   Cy3,  R, LogCenter, Up

		
@RELATION GENE
@ATTRIBUTE DNA_Sequence string @PRIMARY
@ATTRIBUTE Protein_Product string @REFERENCE PROTEIN.Protein_ID
@ATTRIBUTE Pathway string @REFERENCE PATHWAY.Pathway_ID
@ATTRIBUTE Functional_Description string
@ATTRIBUTE Accession_Number string
@ATTRIBUTE Organism string
@ATTRIBUTE Name string

@DATA
Seq_1, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_2, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_3, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_4, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_5, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_6, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_7, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_8, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_9, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_10, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_11, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_12, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_13, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_14, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_15, P5, Pathway_4, vernalization,          Os2g00011, Arabidopsis_thaliana,     LFY
Seq_16, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_17, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_18, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_19, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_20, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_21, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     Y250
Seq_22, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_23, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_24, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_25, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_26, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_27, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_28, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_29, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_30, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_31, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_32, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_33, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_34, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_35, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_36, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_37, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_38, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_39, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_40, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_41, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_42, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_43, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_44, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_45, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_46, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_47, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_48, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_49, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_50, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_51, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_52, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_53, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_54, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_55, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_56, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_57, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_58, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_59, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_60, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_61, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_62, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_63, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_64, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_65, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_66, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_67, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_68, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_69, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_70, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_71, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_72, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_73, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_74, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_75, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_76, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_77, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_78, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_79, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_80, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_81, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_82, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_83, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_84, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_85, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_86, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_87, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_88, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_89, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_90, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_91, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_92, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_93, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_94, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_95, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_96, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_97, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_98, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_99, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_100, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_101, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_102, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_103, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_104, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_105, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_106, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_107, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_108, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_109, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_110, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_111, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_112, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_113, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_114, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_115, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_116, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_117, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_118, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_119, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_120, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_121, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_122, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_123, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_124, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_125, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_126, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_127, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_128, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_129, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_130, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_131, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_132, P5, Pathway_2, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_133, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_134, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_135, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_136, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_137, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_138, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_139, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_140, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_141, P5, Pathway_4, vernalization,          U49845, Arabidopsis_thaliana,     LFY
Seq_142, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_143, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_144, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_145, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_146, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_147, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_148, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_149, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_150, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_151, P2, Pathway_3, flowering_time_control, Os2g00011, Arabidopsis_thaliana,     RICE3
Seq_152, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_153, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_154, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_155, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_156, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_157, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_158, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_159, P5, Pathway_4, vernalization,          Os2g00011, Arabidopsis_thaliana,     LFY
Seq_160, P2, Pathway_2, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_161, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_162, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_163, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_164, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_165, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     Y250
Seq_166, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_167, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_168, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_169, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_170, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_171, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_172, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_173, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_174, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_175, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_176, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_177, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_178, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_179, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_180, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_181, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_182, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_183, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_184, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_185, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_186, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_187, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_188, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_189, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_190, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_191, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_192, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_193, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_194, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_195, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_196, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_197, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_198, P7, Pathway_3, vernalization, Os2g00011, Oryza_sativa,             RICE3
Seq_199, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_200, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_201, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_202, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_203, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_204, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_205, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_206, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_207, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_208, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_209, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_210, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_211, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_212, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_213, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_214, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_215, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_216, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_217, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_218, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_219, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_220, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_221, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_222, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_223, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_224, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_225, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_226, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_227, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_228, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_229, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_230, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_231, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_232, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_233, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_234, P7, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_235, P1, Pathway_1, chalcone_synthase,      At2g01130, Arabidopsis_thaliana,     CS001
Seq_236, P0, Pathway_2, cell_cycle,             U49845,    Saccharomyces_cerevisiae, Y250
Seq_237, P2, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_238, P3, Pathway_3, flowering_time_control, AT4g00010, Arabidopsis_thaliana,     LFY
Seq_239, P4, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_240, P5, Pathway_4, vernalization,          AT4g00010, Arabidopsis_thaliana,     LFY
Seq_241, P2, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
Seq_242, P6, Pathway_3, flowering_time_control, Os2g00011, Oryza_sativa,             RICE3
